Algoritmo(Tamanho(Run));Mov;Comp;Tempo(ms)
InsertionSort(1000)(13);246371;245366;0
InsertionSort(1000)(14);246371;245366;0
InsertionSort(1000)(15);246371;245366;0
InsertionSort(1000)(16);246371;245366;0
InsertionSort(1000)(17);246371;245366;0
InsertionSort(1000)(18);246371;245366;0
InsertionSort(1000)(19);246371;245366;0
InsertionSort(1000)(20);246371;245366;0
InsertionSort(1000)(21);246371;245366;0
InsertionSort(1000)(22);246371;245366;0
InsertionSort(1000)(23);246371;245366;0
InsertionSort(1000)(24);246371;245366;0
InsertionSort(1000)(25);246371;245366;0
InsertionSort(1000)(26);246371;245366;0
InsertionSort(1000)(27);246371;245366;0
InsertionSort(1000)(28);246371;245366;0
InsertionSort(1000)(29);246371;245366;0
InsertionSort(1000)(30);246371;245366;0
BubbleSort(1000)(1);733119;499122;0
BubbleSort(1000)(2);733119;499122;0
BubbleSort(1000)(3);733119;499122;0
BubbleSort(1000)(4);733119;499122;0
BubbleSort(1000)(5);733119;499122;0
BubbleSort(1000)(6);733119;499122;0
BubbleSort(1000)(7);733119;499122;0
BubbleSort(1000)(8);733119;499122;0
BubbleSort(1000)(9);733119;499122;0
BubbleSort(1000)(10);733119;499122;0
BubbleSort(1000)(11);733119;499122;0
BubbleSort(1000)(12);733119;499122;0
BubbleSort(1000)(13);733119;499122;0
BubbleSort(1000)(14);733119;499122;0
BubbleSort(1000)(15);733119;499122;0
BubbleSort(1000)(16);733119;499122;0
BubbleSort(1000)(17);733119;499122;0
BubbleSort(1000)(18);733119;499122;0
BubbleSort(1000)(19);733119;499122;0
BubbleSort(1000)(20);733119;499122;0
BubbleSort(1000)(21);733119;499122;0
BubbleSort(1000)(22);733119;499122;0
BubbleSort(1000)(23);733119;499122;0
BubbleSort(1000)(24);733119;499122;0
BubbleSort(1000)(25);733119;499122;0
BubbleSort(1000)(26);733119;499122;0
BubbleSort(1000)(27);733119;499122;0
BubbleSort(1000)(28);733119;499122;0
BubbleSort(1000)(29);733119;499122;0
BubbleSort(1000)(30);733119;499122;0
QuickSort(1000)(1);7965;10771;0
QuickSort(1000)(2);7965;10771;0
QuickSort(1000)(3);7965;10771;0
QuickSort(1000)(4);7965;10771;0
QuickSort(1000)(5);7965;10771;0
QuickSort(1000)(6);7965;10771;0
QuickSort(1000)(7);7965;10771;0
QuickSort(1000)(8);7965;10771;0
QuickSort(1000)(9);7965;10771;0
QuickSort(1000)(10);7965;10771;0
QuickSort(1000)(11);7965;10771;0
QuickSort(1000)(12);7965;10771;0
QuickSort(1000)(13);7965;10771;0
QuickSort(1000)(14);7965;10771;0
QuickSort(1000)(15);7965;10771;0
QuickSort(1000)(16);7965;10771;0
QuickSort(1000)(17);7965;10771;0
QuickSort(1000)(18);7965;10771;0
QuickSort(1000)(19);7965;10771;0
QuickSort(1000)(20);7965;10771;0
QuickSort(1000)(21);7965;10771;0
QuickSort(1000)(22);7965;10771;0
QuickSort(1000)(23);7965;10771;0
QuickSort(1000)(24);7965;10771;0
QuickSort(1000)(25);7965;10771;0
QuickSort(1000)(26);7965;10771;0
QuickSort(1000)(27);7965;10771;0
QuickSort(1000)(28);7965;10771;0
QuickSort(1000)(29);7965;10771;0
QuickSort(1000)(30);7965;10771;0
SelectionSort(10000)(1);29997;49995000;126
SelectionSort(10000)(2);29997;49995000;130
SelectionSort(10000)(3);29997;49995000;137
SelectionSort(10000)(4);29997;49995000;135
SelectionSort(10000)(5);29997;49995000;135
SelectionSort(10000)(6);29997;49995000;134
SelectionSort(10000)(7);29997;49995000;150
SelectionSort(10000)(8);29997;49995000;139
SelectionSort(10000)(9);29997;49995000;134
SelectionSort(10000)(10);29997;49995000;136
SelectionSort(10000)(11);29997;49995000;133
SelectionSort(10000)(12);29997;49995000;210
SelectionSort(10000)(13);29997;49995000;183
SelectionSort(10000)(14);29997;49995000;134
SelectionSort(10000)(15);29997;49995000;145
SelectionSort(10000)(16);29997;49995000;145
SelectionSort(10000)(17);29997;49995000;155
SelectionSort(10000)(18);29997;49995000;135
SelectionSort(10000)(19);29997;49995000;133
SelectionSort(10000)(20);29997;49995000;127
